ogrn,inn,actives_x,revenue_x,short_term_debt_x,long_term_debt_x,name,okveds,ustavnoi_capital,location,egrul_registration_date,respondent,plaintiffs,third,participated,is_tenderous,region_id,email,phone
1043266005474,3255042972,1276.0,1804.0,630.0,9.0,ООО,"['25.9', '01.6', '16.10', '16.10.9', '16.21', '16.23', '16.29', '18.1', '18.2', '24.3', '24.5', '24.51', '25.1', '25.2', '25.5', '25.61', '25.62', '26.1', '26.20', '26.5', '26.51.5', '26.51.6', '26.51.7', '26.51.8', '27.1', '27.12', '27.2', '27.3', '27.4', '27.5', '27.9', '28.1', '28.2', '28.23', '28.3', '28.4', '28.9', '29.3', '30.20.4', '30.20.9', '31.0', '33.12', '33.13', '33.17', '33.2', '38.32.5', '43.2', '43.3', '45.11.1', '45.11.3', '45.11.4', '45.19.1', '45.19.2', '45.19.3', '45.19.4', '45.20.1', '45.3', '46.1', '46.3', '46.4', '46.9', '47.1', '47.2', '47.5', '47.9', '58', '60.20', '62.0', '62.09', '64.1', '64.20', '64.9', '64.99.2', '66.1', '68.10', '68.10.23', '68.2', '68.3', '71.12.5', '71.12.6', '71.2', '73.1', '74.20', '74.30', '81.22', '81.29.9', '82.92', '88', '95.1']",10000,"БРЯНСКАЯ ОБЛАСТЬ,
Г. БРЯНСК",07.2004,1,0,0,0,0,32,gorlonatasha@mail.ru,+7 (920) 830-91-31
1043600050526,3662089165,162737.0,105958.0,95464.0,60324.0,ООО,"['25.9', '01.13.51']",10000,"ВОРОНЕЖСКАЯ ОБЛАСТЬ,
Г. ВОРОНЕЖ",28.06.2004,3,1,0,0,0,36,agrotehv@bk.ru,+7 (473) 225-33-63
1045011463672,5036062962,14357.0,8787.0,0.0,0.0,ООО,"['25.9', '25.1', '25.2', '25.5', '25.61', '25.62', '46.15', '47.19']",12000,"МОСКОВСКАЯ ОБЛАСТЬ,
Г. ПОДОЛЬСК",24.12.2004,0,0,0,0,0,50,tkuleshov@inbox.ru,+7 (495) 294-66-12
1047796532849,7719522337,290.0,2279.0,0.0,0.0,ООО,"['25.9', '25.92', '46.38', '46.38.21', '46.90', '47.1', '47.29.3', '47.7', '52.29', '82.99']",10000,ГОРОД МОСКВА,21.07.2004,0,0,0,0,0,77,0,0
1047796617461,7706548433,136887.0,435879.0,74066.0,27000.0,ООО,"['25.9', '25.50.1', '43.39', '46.49', '47.19', '52.10', '52.24', '73.11', '82.99']",10000,ГОРОД МОСКВА,19.08.2004,2,3,1,0,0,77,0,0
1051801429327,1810002600,9226.0,13465.0,2098.0,0.0,ООО,"['25.9', '16.10', '16.10.9', '25.50.1', '46.73.1', '46.73.2', '46.73.6', '46.90', '47.52.71', '49.4']",10000,"УДМУРТСКАЯ РЕСПУБЛИКА,
Р-Н КАМБАРСКИЙ,
Г. КАМБАРКА",10.06.2005,0,0,0,0,0,18,0,+7 (341) 532-33-50
1053808076486,3808122541,4799.0,18185.0,0.0,0.0,ООО,"['25.9', '13.9', '16.1', '16.10.9', '16.23', '16.24', '22.2', '23.32', '23.5', '23.6', '24.3', '24.34', '25.1', '25.61', '25.62', '46.3', '46.4', '46.7', '46.73', '47.2', '47.29', '47.5', '49.3', '52.10', '52.10.9']",10000,"ИРКУТСКАЯ ОБЛАСТЬ,
Г. ИРКУТСК",06.07.2005,0,2,0,0,0,38,0,0
1053903273753,3906142585,123883.0,33038.0,558056.0,288430.0,ООО,"['25.9', '46.9']",10000,"КАЛИНИНГРАДСКАЯ ОБЛАСТЬ,
Г. КАЛИНИНГРАД",29.09.2005,13,90,5,0,0,39,tbelyanina@metupak.ru,+7 (495) 982-50-00
1054639053732,4632053283,453.0,2452.0,0.0,0.0,ООО,"['25.9', '27.4', '41.2', '46.1', '46.4', '46.6', '46.7', '46.9', '73.1', '78.10']",10000,"КУРСКАЯ ОБЛАСТЬ,
Г. КУРСК",07.06.2005,3,0,0,0,0,46,0,0
1055003606789,5020042079,28667.0,74420.0,3598.0,0.0,0,0,0,0,0,0,0,0,0,0,50,0,+7 (496) 242-15-06
1055004913248,5028023141,31592.0,1834.0,0.0,0.0,ООО,"['25.9', '25.11', '25.50.1', '25.62', '25.91', '25.92', '25.93', '25.94', '46.9', '68.1', '68.20', '77.11', '77.3']",10000,"МОСКОВСКАЯ ОБЛАСТЬ,
Г. МОЖАЙСК",05.12.2005,0,0,0,0,0,50,0,0
1055473115807,5408237189,2196.0,27392.0,0.0,0.0,ООО,"['25.9', '28.1']",10000,"НОВОСИБИРСКАЯ ОБЛАСТЬ,
Г. НОВОСИБИРСК",31.10.2005,0,0,0,0,0,54,eds-dizel@mail.ru,+7 (383) 217-71-06
1057004441757,7024023352,10.0,0.0,0.0,0.0,ООО,"['25.9', '46.3', '46.4', '47.2', '47.5', '73.1']",10000,"ТОМСКАЯ ОБЛАСТЬ,
Г. СЕВЕРСК",29.09.2005,0,0,0,0,0,70,0,+7 (382) 241-94-05
1057746523713,7733540497,1078.0,4003.0,0.0,0.0,ООО,"['25.9', '23.1', '43.99', '46.15', '46.16', '46.18', '46.19', '46.4', '46.90', '47.5', '56.10', '56.10.1', '56.10.3', '56.29', '56.30']",10000,ГОРОД МОСКВА,29.03.2005,0,0,0,0,0,77,0,0
1057810037779,7805363465,2.0,1308.0,0.0,0.0,ООО,"['25.9', '22.29', '22.29.2', '82.99']",10000,ГОРОД САНКТ-ПЕТЕРБУРГ,31.01.2005,1,0,0,0,0,78,trustaudit@mail.ru,+7 (812) 513-42-16
1057812490350,7816373433,36242.0,7931.0,35132.0,0.0,ООО,"['25.9', '25.61', '25.62', '46.77', '46.90', '47.1', '47.5', '47.78.9', '82.99']",10000,ГОРОД САНКТ-ПЕТЕРБУРГ,30.09.2005,0,0,0,0,0,78,tekhnoal@mail.ru,+7 (921) 381-07-05
1061650060416,1650145647,112464.0,0.0,104302.0,2150.0,ООО,"['25.9', '25.62', '27.90', '33.14', '33.20', '45.11.2', '45.11.3', '45.11.4', '45.19.2', '45.19.3', '45.19.4', '45.3', '46.33', '46.33.3', '46.73.1', '46.73.2', '46.73.3', '46.73.4', '46.73.5', '46.73.6', '46.90', '47.1', '47.52.71', '47.52.72', '47.52.73', '47.78', '47.9', '49.41.3', '82.99']",25000,"РЕСПУБЛИКА ТАТАРСТАН,
Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ",05.09.2006,8,17,0,0,0,16,kama-sm@mail.ru,+7 (960) 059-36-00
1061674037930,1646020317,27767.0,33847.0,0.0,0.0,ООО,"['25.9', '25.1', '25.50.1', '25.61', '25.62', '28.1', '28.25.1', '41.20', '45.31.1', '45.32', '46.73.3', '46.73.4', '46.73.5', '46.73.6']",10000,"РЕСПУБЛИКА ТАТАРСТАН,
Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ",16.10.2006,2,3,0,0,0,16,0,0
1062466152968,2466144019,0.0,0.0,0.0,0.0,ООО,"['25.9', '22.2', '27.12', '27.5', '27.9', '43.99.7', '46.15', '46.17.1', '46.9', '49.41.3', '52.10.9', '52.29', '64.92.1', '64.92.2', '64.92.3', '69.10', '77.11', '77.39.12']",20000,"КРАСНОЯРСКИЙ КРАЙ,
Г. КРАСНОЯРСК",27.10.2006,0,0,0,0,0,24,2926855@mail.ru,+7 (908) 212-68-55
1063015051989,3015076093,6083.0,13641.0,1028.0,0.0,ООО,"['25.9', '25.93', '25.94', '46.1', '46.90', '52.29', '71.20', '71.20.9']",10000,"АСТРАХАНСКАЯ ОБЛАСТЬ,
Г. АСТРАХАНЬ",31.10.2006,0,0,0,0,0,30,0,+7 (851) 273-95-04
1063327016390,3327828447,3892.0,11098.0,0.0,0.0,ООО,"['25.9', '25.92', '25.93', '25.93.1', '25.94']",10000,"ВЛАДИМИРСКАЯ ОБЛАСТЬ,
Г. ВЛАДИМИР",28.12.2006,0,0,0,0,0,33,0,+7 (905) 612-94-87
1063332007232,3305054790,11918.0,1042.0,0.0,0.0,ООО,"['25.9', '46.9', '47.52.73', '71.1', '71.12.5', '71.12.6']",10000,"ВЛАДИМИРСКАЯ ОБЛАСТЬ,
Г. КОВРОВ",15.03.2006,0,0,0,0,0,33,alek-evgeniya@yandex.ru,+7 (910) 779-35-77
1065020037169,5020047670,3220402.0,5179859.0,1928219.0,3350.0,ООО,"['25.9', '25.61', '28.29']",25000,"МОСКОВСКАЯ ОБЛАСТЬ,
Г ИСТРА",27.09.2006,0,2,0,0,0,50,ludmila@kifato-mk.com,+7 (963) 770-72-73
1065248019737,5248020643,1545.0,5530.0,0.0,0.0,ООО,"['25.9', '24.3', '25.3', '25.50', '25.50.1', '25.50.2', '25.61', '25.62', '25.93', '25.94', '25.99', '33.12', '38.32.2', '38.32.3', '38.32.4', '46.77', '46.9']",20000,"НИЖЕГОРОДСКАЯ ОБЛАСТЬ,
Р-Н ГОРОДЕЦКИЙ,
РП ПЕРВОМАЙСКИЙ
(ПЕРВОМАЙСКИЙ С/С)",20.04.2006,0,0,0,0,0,52,0,0
1065252030810,5252018189,30853.0,39653.0,0.0,0.0,ООО,"['25.9', '25.61', '25.62', '25.7', '46.9']",20000,"НИЖЕГОРОДСКАЯ ОБЛАСТЬ,
Р-Н ПАВЛОВСКИЙ,
Г. ПАВЛОВО",25.04.2006,0,0,0,0,0,52,osnastka@kirov.nnov.ru,+7 (831) 712-41-26
1065260110960,5260183115,759.0,6507.0,605.0,0.0,ООО,"['25.9', '25.1', '25.61', '25.62', '27.5', '27.9', '28.2', '31.0', '32.5', '41.2', '43.3', '46.6', '77.11']",10000,"НИЖЕГОРОДСКАЯ ОБЛАСТЬ,
Г. НИЖНИЙ НОВГОРОД",09.11.2006,0,0,0,0,0,52,0,+7 (831) 436-08-94
1065404095272,5404285657,0.0,0.0,0.0,0.0,ООО,"['25.9', '46.71.1', '46.73', '46.9', '47.9']",10000,"НОВОСИБИРСКАЯ ОБЛАСТЬ,
Г. НОВОСИБИРСК",04.08.2006,2,0,0,0,0,54,0,0
1065902052809,5902155058,18817.0,0.0,13533.0,1776.0,ООО,"['25.9', '25.62', '31.0', '31.01', '31.09']",16000,"ПЕРМСКИЙ КРАЙ,
Г. ПЕРМЬ",27.07.2006,0,0,0,0,0,59,0,+7 (342) 218-31-51
1065904116365,5904146595,3488.0,24449.0,0.0,0.0,ООО,"['25.9', '25.1', '25.5', '25.61', '25.62', '46.73.6', '46.74', '46.9', '47.19', '47.52.7', '47.9']",10000,"ПЕРМСКИЙ КРАЙ,
Г. ПЕРМЬ",12.07.2006,1,0,0,0,0,59,aps83@bk.ru,+7 (342) 222-61-61
1066025033590,6025027527,995.0,453.0,0.0,0.0,ООО,"['25.9', '43.22', '43.29', '46.72.2', '46.74.2', '46.9']",10000,"ПСКОВСКАЯ ОБЛАСТЬ,
Г. ВЕЛИКИЕ ЛУКИ",21.09.2006,0,0,0,0,0,60,0,+7 (811) 537-44-77
1067325054719,7325063694,79.0,16009.0,0.0,0.0,ООО,"['25.9', '25.1', '31.09', '33.11', '33.19', '41.20', '42.11', '42.12', '42.13', '42.21', '42.22.1', '43.31', '43.32', '43.33', '43.34.1', '43.91', '43.99', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '49.39', '71.11.1', '71.12', '93.29.9']",20000,"УЛЬЯНОВСКАЯ ОБЛАСТЬ,
Г. УЛЬЯНОВСК",18.08.2006,0,0,0,0,0,73,733205@mail.ru,+7 (905) 349-32-05
1071001002049,1001187280,10.0,0.0,0.0,0.0,ООО,"['25.9', '25.1']",10000,"РЕСПУБЛИКА КАРЕЛИЯ,
Г. ПЕТРОЗАВОДСК",01.02.2007,3,0,0,0,0,10,0,+7 (814) 256-08-52
1071673002191,1648022133,10.0,0.0,0.0,0.0,ООО,"['25.9', '46.43.1', '46.49.49', '46.90', '47.52.73', '47.54', '82.99']",10000,"РЕСПУБЛИКА ТАТАРСТАН,
Р-Н ЗЕЛЕНОДОЛЬСКИЙ,
Г. ЗЕЛЕНОДОЛЬСК",14.09.2007,0,0,0,0,0,16,0,+7 (843) 714-59-00
1073525007423,3525184642,35194.0,32473.0,31720.0,0.0,ООО,"['25.9', '25.5']",10000,"ВОЛОГОДСКАЯ ОБЛАСТЬ,
Г. ВОЛОГДА",14.05.2007,0,2,0,0,0,35,8232590@mail.ru,+7 (981) 444-07-07
1073706000829,3706014177,4180.0,0.0,0.0,0.0,ООО,"['25.9', '41.20', '42.11', '42.99', '43.11', '43.12.3', '43.21', '43.29', '43.31', '43.32', '43.33', '43.34', '43.39', '43.91', '43.99', '43.99.1']",10000,"ИВАНОВСКАЯ ОБЛАСТЬ,
Р-Н ШУЙСКИЙ,
Д ОСТАПОВО",28.03.2007,0,0,0,0,0,37,shishowa.yu@yandex.ru,+7 (493) 514-51-63
1074823001813,4823029690,4393.0,20429.0,4383.0,0.0,ООО,"['25.9', '25.12', '25.50', '25.7', '46.73.6', '46.90', '47.52.73']",10000,"ЛИПЕЦКАЯ ОБЛАСТЬ,
Г. ЛИПЕЦК",02.02.2007,0,0,0,0,0,48,artika@lcpi.ru,+7 (474) 237-53-03
1075074015785,5074040039,93557.0,209332.0,40343.0,4216.0,"ООО""ДВИН""
4
ГРН","['25.9', '24.10.14', '24.10.9', '25.1', '25.5', '25.61', '25.62', '41.2', '46.4', '46.9', '47.1', '47.52.7']",10000,ГОРОД МОСКВА,04.12.2007,7,21,0,0,1,50,109@dveen.ru,+7 (495) 232-56-85
1075249002685,5249087023,37172.0,27945.0,17794.0,0.0,ООО,"['25.9', '46.64', '46.72', '46.75.2', '49.41']",2093750,"НИЖЕГОРОДСКАЯ ОБЛАСТЬ,
Г. ДЗЕРЖИНСК",22.02.2007,1,0,1,0,0,52,ecotexn@yandex.ru,+7 (831) 327-11-10
1075252001065,5252020036,19.0,0.0,0.0,0.0,ООО,"['25.9', '24.20', '25.1', '25.5', '25.61', '25.62', '25.7', '46.74.3', '47.19', '47.78.9']",10000,"НИЖЕГОРОДСКАЯ ОБЛАСТЬ,
Р-Н ПАВЛОВСКИЙ,
Г. ПАВЛОВО",03.04.2007,2,1,0,0,0,52,mera-zavod@mail.ru,+7 (831) 713-52-77
1075404012970,5404325846,14230.0,22259.0,1372.0,1807.0,ООО,"['25.9', '46.49.4', '46.90', '47.19']",10000,"НОВОСИБИРСКАЯ ОБЛАСТЬ,
Г. НОВОСИБИРСК",12.04.2007,0,0,0,0,0,54,promiz1@yandex.ru,+7 (383) 300-04-04
1075404034628,5404345786,28.0,962.0,0.0,0.0,ООО,"['25.9', '24.3', '25.11', '25.12', '43.22', '46.7', '46.90', '47.19', '47.52.73', '47.78.9']",20000,"НОВОСИБИРСКАЯ ОБЛАСТЬ,
Г. НОВОСИБИРСК",07.12.2007,0,0,0,0,0,54,0,+7 (913) 905-69-04
1076025003174,6025029115,1650.0,6865.0,366.0,1265.0,ООО,"['25.9', '43.2', '46.72.2', '46.74.2', '46.9']",10000,"ПСКОВСКАЯ ОБЛАСТЬ,
Г. ВЕЛИКИЕ ЛУКИ",17.09.2007,0,0,0,0,0,60,0,0
1077017035260,7017196570,3541.0,2775.0,0.0,0.0,ООО,"['25.9', '28.15.2', '28.2', '28.99.9']",10000,"ТОМСКАЯ ОБЛАСТЬ,
Г. ТОМСК",08.11.2007,0,0,0,0,0,70,0,0
1077203064113,7202171925,7319.0,15315.0,0.0,0.0,ООО,"['25.9', '02.10', '02.20', '02.40', '16.23', '25.1', '25.11', '25.12', '25.2', '25.29', '25.62', '31.0', '31.09', '32.9', '41.2', '41.20', '42.21', '42.91', '42.91.2', '42.99', '43.11', '43.12.1', '43.12.3', '43.2', '43.29', '43.34.1', '43.91', '43.99', '43.99.2', '43.99.3', '43.99.5', '43.99.7', '43.99.9', '46.73', '47.52', '49.3', '52.10', '52.10.9', '52.2', '52.29', '64.19', '68.10.22', '68.10.23', '68.20.2', '77.11', '77.2', '77.3', '77.39']",20000,"ТЮМЕНСКАЯ ОБЛАСТЬ,
Г. ТЮМЕНЬ",21.12.2007,1,0,0,0,0,72,prayd72@mail.ru,+7 (345) 279-24-54
1077326039230,7326030525,16193.0,34007.0,0.0,0.0,ООО,"['25.9', '25.50.1', '25.62', '29.31', '29.32', '45.31.1', '45.32', '46.15.2', '46.74', '46.90', '47.1', '47.52']",10000,"УЛЬЯНОВСКАЯ ОБЛАСТЬ,
Г. УЛЬЯНОВСК",27.11.2007,1,0,0,0,0,73,7326030525_732701001@eo.tensor.ru,+7 (842) 296-78-31
1077763762383,7719661595,0.0,0.0,0.0,0.0,ООО,"['25.9', '24.3', '25.1', '25.2', '25.3', '25.5', '27.4', '28.2', '32.9', '41.2', '42.91', '43.2', '46.1', '46.4', '46.9', '47.7', '68.2', '71.1', '71.12.5', '71.12.6', '72.1']",25000,ГОРОД МОСКВА,12.12.2007,0,0,0,0,0,77,0,0
1077764553844,7717608300,64846.0,30092.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,77,shuneeba@acherbroo.ru,+7 (495) 967-65-76
1077847548921,7810485959,5663.0,14526.0,0.0,0.0,ООО,"['25.9', '41.2', '43.12', '43.2', '43.3', '43.39', '43.99', '46.6', '46.90']",10000,ГОРОД САНКТ-ПЕТЕРБУРГ,16.08.2007,0,3,1,0,0,78,0,0
1081841004937,1808209284,55274.0,305459.0,0.0,0.0,ООО,['25.9'],10000,"УДМУРТСКАЯ РЕСПУБЛИКА,
Р-Н ЗАВЬЯЛОВСКИЙ,
С ПЕРВОМАЙСКИЙ",19.08.2008,0,1,0,0,0,18,izhkomplekt@mail.ru,+7 (341) 250-80-08
